a.name,d.name,"gds.alpha.linkprediction.commonNeighbors(a, d)","gds.alpha.linkprediction.adamicAdar(a, d)",label
Vyuha,Shape,1.0,1.4426950408889634,true
Vyuha,Asura,0.0,0.0,false
Vyuha,Rishi,0.0,0.0,false
Vyuha,Woman,0.0,0.0,false
Vyuha,Person,0.0,0.0,false
Vyuha,Deva,0.0,0.0,false
Vyuha,Pandava,0.0,0.0,false
Vyuha,Bhagavad_Gita,0.0,0.0,false
Vyuha,StatesOfIndia,0.0,0.0,false
Vyuha,Events,0.0,0.0,false
Vyuha,Places,0.0,0.0,false
Vyuha,Vyuha,0.0,0.0,false
Vyuha,Yadava_Dynasty,0.0,0.0,false
Vyuha,Rivers,0.0,0.0,false
Vyuha,Man,0.0,0.0,false
Vyuha,Chapters,0.0,0.0,false
Vyuha,Traits,0.0,0.0,false
Vyuha,Kuru_Dynasty,0.0,0.0,false
Yadava_Dynasty,Parvas,0.0,0.0,false
Yadava_Dynasty,Kingdom,0.0,0.0,false
Yadava_Dynasty,Deities,0.0,0.0,false
Yadava_Dynasty,Kaurava,0.0,0.0,false
Yadava_Dynasty,Shape,0.0,0.0,false
Yadava_Dynasty,Asura,0.0,0.0,false
Yadava_Dynasty,Rishi,0.0,0.0,false
Yadava_Dynasty,Woman,0.0,0.0,false
Yadava_Dynasty,Person,0.0,0.0,false
Yadava_Dynasty,Deva,0.0,0.0,false
Yadava_Dynasty,Pandava,0.0,0.0,false
Yadava_Dynasty,Bhagavad_Gita,0.0,0.0,false
Yadava_Dynasty,StatesOfIndia,0.0,0.0,false
Yadava_Dynasty,Events,0.0,0.0,false
Yadava_Dynasty,Places,0.0,0.0,false
Yadava_Dynasty,Vyuha,0.0,0.0,false
Yadava_Dynasty,Yadava_Dynasty,0.0,0.0,false
Yadava_Dynasty,Rivers,0.0,0.0,false
Yadava_Dynasty,Man,0.0,0.0,false
Yadava_Dynasty,Chapters,0.0,0.0,false
Yadava_Dynasty,Traits,0.0,0.0,false
Yadava_Dynasty,Kuru_Dynasty,0.0,0.0,false
Rivers,Parvas,0.0,0.0,false
Rivers,Kingdom,1.0,1.4426950408889634,true
Rivers,Deities,0.0,0.0,false
Rivers,Kaurava,0.0,0.0,false
Rivers,Shape,0.0,0.0,false
Rivers,Asura,0.0,0.0,false
Rivers,Rishi,0.0,0.0,false
Rivers,Woman,1.0,0.40242960438184466,false
Rivers,Person,0.0,0.0,false
Rivers,Deva,0.0,0.0,false
Rivers,Pandava,0.0,0.0,false
Rivers,Bhagavad_Gita,0.0,0.0,false
Rivers,StatesOfIndia,1.0,0.40242960438184466,false
Rivers,Events,0.0,0.0,false
Rivers,Places,0.0,0.0,false
Rivers,Vyuha,0.0,0.0,false
Rivers,Yadava_Dynasty,0.0,0.0,false
Rivers,Rivers,0.0,0.0,false
Rivers,Man,1.0,0.40242960438184466,false
Rivers,Chapters,0.0,0.0,false
Rivers,Traits,0.0,0.0,false
Rivers,Kuru_Dynasty,0.0,0.0,false
Man,Parvas,0.0,0.0,false
Man,Kingdom,3.0,3.275261327029207,true
Man,Deities,0.0,0.0,false
Man,Kaurava,0.0,0.0,false
Man,Shape,0.0,0.0,false
Man,Asura,0.0,0.0,false
Man,Rishi,0.0,0.0,false
Man,Woman,4.0,3.633795942420965,true
Man,Person,2.0,1.3001104718781173,false
Man,Deva,0.0,0.0,false
Man,Pandava,0.0,0.0,false
Man,Bhagavad_Gita,0.0,0.0,false
Man,StatesOfIndia,1.0,0.40242960438184466,false
Man,Events,1.0,0.3459762562611936,false
Man,Places,1.0,0.3459762562611936,false
Man,Vyuha,0.0,0.0,false
Man,Yadava_Dynasty,0.0,0.0,false
Man,Rivers,1.0,0.40242960438184466,false
Man,Man,0.0,0.0,false
Man,Chapters,0.0,0.0,false
Man,Traits,1.0,0.3459762562611936,false
Man,Kuru_Dynasty,0.0,0.0,false
Chapters,Parvas,1.0,0.4170323914242463,false
Chapters,Kingdom,0.0,0.0,false
Chapters,Deities,0.0,0.0,false
Chapters,Kaurava,0.0,0.0,false
Chapters,Shape,0.0,0.0,false
Chapters,Asura,0.0,0.0,false
Chapters,Rishi,0.0,0.0,false
Chapters,Woman,0.0,0.0,false
Chapters,Person,2.0,0.9751430179754935,false
Chapters,Deva,0.0,0.0,false
Chapters,Pandava,0.0,0.0,false
Chapters,Bhagavad_Gita,0.0,0.0,false
Chapters,StatesOfIndia,0.0,0.0,false
Chapters,Events,1.0,0.5581106265512472,false
Chapters,Places,0.0,0.0,false
Chapters,Vyuha,0.0,0.0,false
Chapters,Yadava_Dynasty,0.0,0.0,false
Chapters,Rivers,0.0,0.0,false
Chapters,Man,0.0,0.0,false
Chapters,Chapters,0.0,0.0,false
Chapters,Traits,0.0,0.0,false
Chapters,Kuru_Dynasty,1.0,0.4170323914242463,false
Traits,Parvas,0.0,0.0,false
Traits,Kingdom,0.0,0.0,false
Traits,Deities,0.0,0.0,false
Traits,Kaurava,0.0,0.0,false
Traits,Shape,0.0,0.0,false
Traits,Asura,0.0,0.0,false
Traits,Rishi,0.0,0.0,false
Traits,Woman,1.0,0.3459762562611936,false
Traits,Person,1.0,1.4426950408889634,true
Traits,Deva,0.0,0.0,false
Traits,Pandava,0.0,0.0,false
Traits,Bhagavad_Gita,0.0,0.0,false
Traits,StatesOfIndia,0.0,0.0,false
Traits,Events,1.0,0.3459762562611936,false
Traits,Places,1.0,0.3459762562611936,false
Traits,Vyuha,0.0,0.0,false
Traits,Yadava_Dynasty,0.0,0.0,false
Traits,Rivers,0.0,0.0,false
Traits,Man,1.0,0.3459762562611936,false
Traits,Chapters,0.0,0.0,false
Traits,Traits,0.0,0.0,false
Traits,Kuru_Dynasty,0.0,0.0,false
Kuru_Dynasty,Parvas,1.0,0.4170323914242463,false
Kuru_Dynasty,Kingdom,0.0,0.0,false
